image_path,iod,miod,is_lv3,od_threshold_used,dilate_radius_used,low_iod,low_miod,low_both,figure_path
data\raw\train\IHC\00000_train_1+.png,10940.779296875,0.19050633907318115,0,0.2,2,0,0,0,outputs\signal_debug_all\raw__train__IHC__00000_train_1+.png.png
data\raw\train\IHC\00001_train_3+.png,318243.15625,0.30457592010498047,1,0.25,0,0,0,0,outputs\signal_debug_all\raw__train__IHC__00001_train_3+.png.png
data\raw\train\IHC\00002_train_3+.png,27862.73828125,0.02657674252986908,1,0.25,0,0,1,0,outputs\signal_debug_all\raw__train__IHC__00002_train_3+.png.png
data\raw\train\IHC\00004_train_1+.png,88401.3671875,0.08430611342191696,0,0.2,2,0,0,0,outputs\signal_debug_all\raw__train__IHC__00004_train_1+.png.png
data\raw\train\IHC\00005_train_3+.png,311444.34375,1.053868055343628,1,0.25,0,0,0,0,outputs\signal_debug_all\raw__train__IHC__00005_train_3+.png.png
data\raw\train\IHC\00006_train_2+.png,361563.78125,2.1315603256225586,0,0.2,2,0,0,0,outputs\signal_debug_all\raw__train__IHC__00006_train_2+.png.png
data\raw\train\IHC\00007_train_3+.png,548535.6875,0.5232970714569092,1,0.25,0,0,0,0,outputs\signal_debug_all\raw__train__IHC__00007_train_3+.png.png
data\raw\train\IHC\00008_train_2+.png,1720.53466796875,0.08998141437768936,0,0.2,2,0,0,0,outputs\signal_debug_all\raw__train__IHC__00008_train_2+.png.png
data\raw\train\IHC\00009_train_2+.png,4915.45068359375,0.004687739070504904,0,0.2,2,0,1,0,outputs\signal_debug_all\raw__train__IHC__00009_train_2+.png.png
data\raw\train\IHC\00010_train_3+.png,82511.8671875,0.4079011082649231,1,0.25,0,0,0,0,outputs\signal_debug_all\raw__train__IHC__00010_train_3+.png.png
data\raw\train\IHC\00011_train_2+.png,51144.12890625,0.0487748421728611,0,0.2,2,0,1,0,outputs\signal_debug_all\raw__train__IHC__00011_train_2+.png.png
data\raw\train\IHC\00012_train_2+.png,4599.099609375,0.07850570231676102,0,0.2,2,0,0,0,outputs\signal_debug_all\raw__train__IHC__00012_train_2+.png.png
data\raw\train\IHC\00013_train_2+.png,450152.21875,0.6807430386543274,0,0.2,2,0,0,0,outputs\signal_debug_all\raw__train__IHC__00013_train_2+.png.png
data\raw\train\IHC\00014_train_3+.png,413419.9375,0.3942679762840271,1,0.25,0,0,0,0,outputs\signal_debug_all\raw__train__IHC__00014_train_3+.png.png
data\raw\train\IHC\00015_train_0.png,1192091.875,1.7811636924743652,0,0.2,2,0,0,0,outputs\signal_debug_all\raw__train__IHC__00015_train_0.png.png
data\raw\train\IHC\00016_train_2+.png,13023.064453125,0.08822198212146759,0,0.2,2,0,0,0,outputs\signal_debug_all\raw__train__IHC__00016_train_2+.png.png
